,Conversión de Administrada a Pyme,1. Segmentación inteligente de empresas administradas. 2. Modelo de transición gradual. 3. Reporte de TC ,"Convertir el 50% del cluster a, b y c definido por idadministradoras por administradas con menos volumen de facturación (el cluster total son 95)",Revenue Ops,KR1: generar MRR,KR2,,,,En progreso ⚠️,Base de empresas a trabajar                                                                                                Gestión de migración Growth,"Reu de Coordinación
(Martes)",Mensual,Documento,,,
,Impulsar la generación de Portal de Equipo con automatizaciones desde Intercom,1.Identiicar clientes con menos de 50 empleados y clientes sin el prodcuto de sueldos que generan asiento de sueldos. 2. Crear workflows que ofrecen el uso del Portal. 3. Medir resultados y ajustar campaña,Generar un total de: 340 K a fin de Q1 asociado al upsell automático,Sueldos,KR1: generar MRR,KR2,$90.500,$113.200,$135.800,En progreso ⚠️,"E2-Bis Crossell Enterprise y Enterprise+Sueldos Q1 2026
E2-Bis Crossell Platinum y Full Q1 2026
[Sueldos] E.1 Upsell - Impulsar portal de equipo-usuarios con sueldos. Q1 2026
[R19] Crosseling - Asiento_de_sueldos","Reu de Coordinación
(Martes)",Mensual,Documento,,,
Fidelización canal contador,"Segmentar a la base de contadores, definir portfolio y alinear flujo con revenue",Alinear cómo será el diseño de trabajo de ambas áreas para garantizar el flujo de oportunidades de manera correcta,Evitar fricciones y garantizar el rápido abordaje del lead,Revenue,KR1: Entregar un proceso de ejecución entre Customer y Revenue sobre oportunidades de canal fidelizado,KR2,Segmentar la base y detectar top 25 basado en MRR y tamaño,,,Hecho ✅,Segmentación contadores,"Reu de Coordinación
(Martes)",Mensual,Documento,,,
,Crear calendario de contadores,"Crear calendario con fechas clave de contadores anual, para anticiparnos a acciones de markerting, de care y de efectividad de fidelización",Aumentar la proactividad y farming en el segmento contadores,Revenue / Care,,KR2,,,,Hecho ✅,,,,,,,
,Reuniones realizadas,"Clasificar y segmentar a la base de contadores en tier 1, 2 y 3 según revenue, fidelización y tamaño de oportunidad",Lograr priorizar contadores actuales,Revenue,"KR1: Entregar una clasificación en tier 1, 2 y 3 que será actualizado de manera mensual según variables a definir principales.",KR2,5,6,6,Hecho ✅,,"Reu de Coordinación
(Martes)",Mensual,Documento,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,INICIATIVAS EN LAS QUE CUSTOMER COLABORA                                                    INICIATIVAS EN LAS QUE PRODUCTO/INGENIERÍA CUSTOMER COLABORA                                                                                                                                    INICIATIVAS EN LAS QUE CUSTOMER COLABORA,,,,,,,,,,,,,,,
Subárea,Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien es OWNER?,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,,,En que instancia se va a reportar,En que frecuencia,En que formato,Baseline,Qué consecuencias / acciones tenemos en caso que no se desvía? ,Que no incluye en este Trimestre?
Growth,Boolfy + Clientes,¿A quienes se le va a ofrecer? 100 empresas para habilitar el servicio,Cantidad de clientes que usen la integración,Producto,New MRR,KR2,30,40,50,,,"Reu de Coordinación
(Martes)",Semanal,"Slide de avances de proyectos, % de avance",-5,Afecta la venta y el crecimiento,hablar con promoters
People,"Evolución de OB Sales Customer

Garantizar una experiencia de onboarding que acelere el impacto del talento nuevo en el crecimiento del negocio.
","
- Diagnóstico
- Resultado del PPR
- Definición de plan de trabajo y alcances",,,,,,,,,,,,,,,
