,INICIATIVAS EN LAS QUE REVENUE COLABORA                                                    INICIATIVAS EN LAS QUE REVENUE COLABORA                                                                                                                                    INICIATIVAS EN LAS QUE REVENUE COLABORA,,,,,,,,,,,,,,,
,Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,Quien es OWNER?,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,En que instancia se va a reportar,En que frecuencia,En que formato,Baseline,Objetivo,Que consecuencias / acciones tenemos en caso que se desvía? ,Que no incluye en este Trimestre?
Producto,Validación Boolfy + Pricing,"• Medir tiempo ahorrado vs carga manual y tasa de 
éxito de lectura OCR.
• Testear pricing (por uso, o incluido en plan).
• Ejecutar pruebas A/B de usuarios reales.",Cantidad de suscripciones pagas con boolfy,"Customer Experience/ Sueldos
Sales",New MRR,"Desarrollar nuevas capacidades de producto impulsadas 
por IA que generen ingresos incrementales.",30,40,50,"Reu de Coordinación
(Martes)",Semanal,"Slide de avances de proyectos, % de avance",0,50,"Si no se valida la hipotesis, Despriorizar Boolfy",Modificacion de planes
Customer,"Diagrama de atención por icp (bandejas, workflow, propiedades)","Mapear el journey de atención actual por cada ICP y puntos de contacto en Intercom.
Rediseñar bandejas de entrada y workflows automatizados en Intercom según ICP.
Configurar propiedades y tags que permitan medir el desempeño y la carga de atención por segmento.
Capacitar al equipo de Customer en la nueva lógica de atención por ICP.","Reducción del tiempo promedio de primera respuesta y resolución por ICP.
Aumento del CSAT promedio por segmento.",Marketing / Sueldos,"KR1: Implementar 100% de bandejas y workflows diferenciados por ICP en Intercom antes de finalizar Q2.
KR2: Alcanzar un CSAT > 85% en PyMEs y Contadores Asesores.",KR1,,,,"Reu de Coordinación
(Martes)",Semanal,,,,,
Customer,Definir el journey de trabajo con revenue para la detección y traspaso de Oportunidades,Alinear cómo será el diseño de trabajo de ambas áreas para garantizar el flujo de oportunidades de manera correcta,Evitar fricciones y garantizar el rápido abordaje del lead,Revenue,KR1: Entregar un proceso de ejecución entre Customer y Revenue sobre oportunidades de canal fidelizado,KR2,,,,,,,,,,
Customer,Segmentar a la base de contadores,"Clasificar y segmentar a la base de contadores en tier 1, 2 y 3 según revenue, fidelización y tamaño de oportunidad",Lograr priorizar contadores actuales,Revenue,"KR1: Entregar una clasificación en tier 1, 2 y 3 que será actualizado de manera mensual según variables a definir principales.",KR2,,,,,,,,,,
Sueldos,Generación de contactos en el crm con autoregistro de sueldos,,Obtener el 100% de los contactos registrados en el crm,Producto,KR3,,,,,,,,,,,
Customer,Definir canales y omnicanalidad,"Definir qué canales vamos a trabajar en Colppy, segmentarlo por planes y por ICP",Mejora en la experiencia del cliente,Revenue,KR: definir la estrategia omnicanal de atención que vamos a dar y segmentada por ICP,KR1,tbd con ingreso de Magui,tbd con ingreso de Magui,tbd con ingreso de Magui,"Reu de Coordinación
(Martes)",Mensual,Documento / PPT,,,,
People,"Evolución de OB Sales

Garantizar una experiencia de onboarding que acelere el impacto del talento nuevo en el crecimiento del negocio.
","
- Traspaso de diagnóstico al Head of Revenue (Resultado del PPR, documentación, necesidades detectadas)
- Definición de plan de trabajo y alcances",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Iniciativas Q2 2026,Key Actions ,SUCCESS METRIC,Quien apoya?,KR,OKR de Colppy,Enero,Febrero,Marzo,,,,,,,
,Branding + RRSS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Para cada iniciativa, ¿podemos dejar escrito el número concreto de éxito (MRR, PQLs, % activación) y el baseline que usamos? Así sabemos qué es ‘éxito’ y qué es ‘fallar’.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Cuando en marzo veamos que no llegamos al objetivo de MRR/PQLs de sueldos, ¿qué dejamos de hacer primero? ¿Cuáles son las 1–2 iniciativas que se despriorizan explícitamente para redirigir esfuerzo?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"En las iniciativas compartidas (upsell/cross, Intercom, omnicanalidad), ¿quién tiene la última palabra si hay conflicto entre objetivos de Revenue y Customer? ¿Cuál es el foro y el umbral de desvío que dispara la decisión (ej: 20% por debajo del objetivo dos semanas seguidas)?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"¿Qué cosas importantes estamos eligiendo conscientemente no hacer en Q1 en Revenue (por ejemplo branding, cosas de RRSS, experimentos nuevos) para poder cumplir esto? Me gustaría que quede bien explícito en la columna ‘qué no incluye’.",,,,,,,,,,,,,,,
