,,,,,,,,,,,,,,
,,INICIATIVAS EN LAS QUE CUSTOMER COLABORA                                                    INICIATIVAS EN LAS QUE PRODUCTO/INGENIERÍA CUSTOMER COLABORA                                                                                                                                    INICIATIVAS EN LAS QUE CUSTOMER COLABORA,,,,,,,,,,,,
Subárea,Iniciativas Q1 2026,Key Actions ,SUCCESS METRIC,KR,OKR de Colppy Q1,Enero,Febrero,Marzo,En que instancia se va a reportar,En que frecuencia,En que formato,Baseline,Qué consecuencias / acciones tenemos en caso que no se desvía? ,Que no incluye en este Trimestre?
Growth,Boolfy + Clientes,¿A quienes se le va a ofrecer? 100 empresas para habilitar el servicio,Cantidad de clientes que usen la integración,New MRR,KR2,30,40,50,"Reu de Coordinación
(Martes)",Semanal,"Slide de avances de proyectos, % de avance",-5,Afecta la venta y el crecimiento,hablar con promoters
People,"Evolución de OB Sales Customer

Garantizar una experiencia de onboarding que acelere el impacto del talento nuevo en el crecimiento del negocio.
","
- Diagnóstico
- Resultado del PPR
- Definición de plan de trabajo y alcances",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Iniciativas Q2 2026,Key Actions ,SUCCESS METRIC,KR,OKR de Colppy Q4,Enero,Febrero,Marzo,,,,,,
,Optimizar plan de cuentas para reducir el tiempo de implementación inicial que no requiere cambios en el código. Solo cambio de formato,"- Analizar el flujo actual de carga e importación del plan de cuentas.
- Rediseñar el formato estándar para facilitar la carga automática y reducir errores.
- Validar con equipos de Onboarding y Soporte la nueva versión del formato.
- Comunicar y capacitar a usuarios y equipo interno sobre el nuevo proceso.","- Reducción del tiempo promedio de implementación inicial.
- Disminución de tickets asociados a la carga del plan de cuentas.","- KR1: Implementar nuevo formato de plan de cuentas sin requerir desarrollo antes de octubre 2026.
- KR3: Reducir en 50% los tickets de soporte asociados a la carga del plan de cuentas.",KR3,,,,,,,,,
NPS,Medir NPS Contador ,"- Definir el universo de contadores activos
- Implementar la medición trimestral de NPS exclusiva para contadores (asesores y operadores).
- Analizar resultados y detectar principales drivers de detracción.
- Crear plan de acción específico para mejorar la experiencia de este segmento.","- Nivel de participación (response rate).
- NPS promedio del segmento Contador.
- Mejora en drivers de detracción identificados.","- KR1: Implementar la encuesta NPS Contador
- KR2: Alcanzar un response rate ≥ 10% del universo de contadores.
",KR1,,,,,,,,,
Onboarding,Automatización de Onboarding (consultas level y acciones level 1),Implementar mensajes proactivos desde Intercom con IA para acompañar el onboarding sin intervención humana.,Disminuir volumen de consultas humanas en el Onboarding ,,,,,,,,,,,
,,"Crear contenido específico guiado (tutoriales, mensajes automáticos, IA asistida) según ICP.",,,,,,,,,,,,
